Y;solde;csp;transactions;connexions;virement;penibilites;note
0.08;57.92;2.00;22.00;20.00;0.00;3.80;2.00
0.35;197.59;3.00;41.00;40.00;8.00;2.07;3.00
0.08;199.59;3.00;39.00;20.00;2.00;1.95;3.00
0.14;230.59;3.00;8.00;44.00;2.00;0.35;3.00
0.29;636.15;4.00;33.00;26.00;4.00;0.52;4.00
0.05;214.59;3.00;24.00;10.00;8.00;1.12;3.00
0.14;14.15;1.00;11.00;31.00;8.00;7.78;1.00
0.14;9.15;1.00;16.00;11.00;9.00;17.49;1.00
0.15;63.92;2.00;16.00;33.00;9.00;2.50;2.00
0.08;46.92;2.00;33.00;3.00;2.00;7.03;2.00
0.08;1.00;1.00;27.00;43.00;8.00;270.00;1.00
0.47;656.15;4.00;13.00;33.00;0.00;0.20;4.00
0.10;1712.98;5.00;50.00;13.00;7.00;0.29;0.00
0.05;1743.98;5.00;19.00;17.00;1.00;0.11;0.00
0.05;33.92;2.00;46.00;25.00;9.00;13.56;2.00
0.05;67.92;2.00;12.00;29.00;2.00;1.77;2.00
0.08;1740.98;5.00;22.00;23.00;2.00;0.13;0.00
0.05;1742.98;5.00;20.00;19.00;2.00;0.11;0.00
0.14;1753.98;5.00;9.00;2.00;5.00;0.05;0.00
0.39;209.59;3.00;29.00;48.00;10.00;1.38;3.00
0.05;216.59;3.00;22.00;16.00;7.00;1.02;3.00
0.13;208.59;3.00;30.00;2.00;1.00;1.44;3.00
0.45;39.92;2.00;40.00;46.00;4.00;10.02;2.00
0.08;56.92;2.00;23.00;10.00;8.00;4.04;2.00
0.05;30.92;2.00;49.00;14.00;10.00;15.85;2.00
0.08;14.15;1.00;11.00;19.00;6.00;7.78;1.00
0.55;1.00;1.00;31.00;35.00;10.00;310.00;1.00
0.05;217.59;3.00;21.00;24.00;4.00;0.97;3.00
0.14;229.59;3.00;9.00;3.00;0.00;0.39;3.00
0.14;1.15;1.00;24.00;48.00;9.00;209.14;1.00
0.05;18.15;1.00;7.00;16.00;1.00;3.86;1.00
0.05;1.00;1.00;49.00;34.00;4.00;490.00;1.00
0.13;1760.98;5.00;2.00;30.00;7.00;0.01;0.00
0.08;661.15;4.00;8.00;22.00;2.00;0.12;4.00
0.05;1752.98;5.00;10.00;34.00;6.00;0.06;0.00
0.15;21.15;1.00;4.00;13.00;0.00;1.89;1.00
0.08;78.92;2.00;1.00;49.00;5.00;0.13;2.00
0.08;2.15;1.00;23.00;22.00;8.00;107.10;1.00
0.29;221.59;3.00;17.00;42.00;10.00;0.77;3.00
0.14;64.92;2.00;15.00;42.00;3.00;2.31;2.00
0.25;12.15;1.00;13.00;5.00;2.00;10.70;1.00
0.14;54.92;2.00;25.00;6.00;8.00;4.55;2.00
0.15;1.00;1.00;48.00;16.00;10.00;480.00;1.00
0.35;1722.98;5.00;40.00;24.00;5.00;0.23;0.00
0.73;210.59;3.00;28.00;23.00;7.00;1.33;3.00
0.09;233.59;3.00;5.00;46.00;7.00;0.21;3.00
0.14;48.92;2.00;31.00;21.00;5.00;6.34;2.00
0.05;1.00;1.00;49.00;34.00;4.00;490.00;1.00
0.05;1730.98;5.00;32.00;27.00;10.00;0.18;0.00
0.24;224.59;3.00;14.00;19.00;3.00;0.62;3.00
0.05;189.59;3.00;49.00;5.00;5.00;2.58;3.00
0.14;664.15;4.00;5.00;34.00;10.00;0.08;4.00
0.26;1724.98;5.00;38.00;30.00;4.00;0.22;0.00
0.08;641.15;4.00;28.00;40.00;10.00;0.44;4.00
0.33;15.15;1.00;10.00;36.00;4.00;6.60;1.00
0.34;38.92;2.00;41.00;36.00;9.00;10.53;2.00
0.45;1719.98;5.00;43.00;25.00;8.00;0.25;0.00
0.05;199.59;3.00;39.00;27.00;9.00;1.95;3.00
0.73;622.15;4.00;47.00;14.00;0.00;0.76;4.00
0.05;64.92;2.00;15.00;13.00;0.00;2.31;2.00
0.08;619.15;4.00;50.00;10.00;5.00;0.81;4.00
0.14;1723.98;5.00;39.00;6.00;7.00;0.23;0.00
0.08;14.15;1.00;11.00;30.00;1.00;7.78;1.00
0.09;219.59;3.00;19.00;23.00;2.00;0.87;3.00
0.55;1731.98;5.00;31.00;47.00;0.00;0.18;0.00
0.15;233.59;3.00;5.00;44.00;8.00;0.21;3.00
0.08;3.15;1.00;22.00;8.00;10.00;69.90;1.00
0.05;204.59;3.00;34.00;26.00;1.00;1.66;3.00
0.08;205.59;3.00;33.00;41.00;7.00;1.61;3.00
0.31;189.59;3.00;49.00;47.00;6.00;2.58;3.00
0.08;1.00;1.00;50.00;12.00;0.00;500.00;1.00
0.47;1.00;1.00;49.00;23.00;0.00;490.00;1.00
0.38;661.15;4.00;8.00;41.00;8.00;0.12;4.00
0.08;632.15;4.00;37.00;1.00;5.00;0.59;4.00
0.28;35.92;2.00;44.00;16.00;8.00;12.25;2.00
0.13;219.59;3.00;19.00;32.00;8.00;0.87;3.00
0.11;73.92;2.00;6.00;37.00;0.00;0.81;2.00
0.25;232.59;3.00;6.00;10.00;3.00;0.26;3.00
0.08;51.92;2.00;28.00;24.00;0.00;5.39;2.00
0.08;191.59;3.00;47.00;50.00;5.00;2.45;3.00
0.08;628.15;4.00;41.00;19.00;0.00;0.65;4.00
0.05;646.15;4.00;23.00;28.00;6.00;0.36;4.00
0.08;40.92;2.00;39.00;29.00;0.00;9.53;2.00
0.38;56.92;2.00;23.00;47.00;9.00;4.04;2.00
0.05;0.15;1.00;25.00;19.00;1.00;1694.50;1.00
0.26;623.15;4.00;46.00;4.00;8.00;0.74;4.00
0.08;197.59;3.00;41.00;27.00;5.00;2.07;3.00
0.08;1.00;1.00;42.00;20.00;10.00;420.00;1.00
0.14;57.92;2.00;22.00;27.00;5.00;3.80;2.00
0.08;1.00;1.00;46.00;6.00;3.00;460.00;1.00
0.05;69.92;2.00;10.00;43.00;3.00;1.43;2.00
0.55;650.15;4.00;19.00;48.00;2.00;0.29;4.00
0.43;644.15;4.00;25.00;7.00;10.00;0.39;4.00
0.13;40.92;2.00;39.00;19.00;8.00;9.53;2.00
0.08;1.00;1.00;43.00;26.00;4.00;430.00;1.00
0.13;1.00;1.00;37.00;20.00;8.00;370.00;1.00
0.05;191.59;3.00;47.00;0.00;9.00;2.45;3.00
0.05;57.92;2.00;22.00;38.00;1.00;3.80;2.00
0.25;1.00;1.00;47.00;0.00;0.00;470.00;1.00
0.54;59.92;2.00;20.00;5.00;9.00;3.34;2.00
0.08;1757.98;5.00;5.00;40.00;10.00;0.03;0.00
0.14;8.15;1.00;17.00;47.00;8.00;20.87;1.00
0.08;218.59;3.00;20.00;45.00;6.00;0.91;3.00
0.11;1715.98;5.00;47.00;16.00;1.00;0.27;0.00
0.14;1723.98;5.00;39.00;37.00;9.00;0.23;0.00
0.08;213.59;3.00;25.00;2.00;3.00;1.17;3.00
0.05;1756.98;5.00;6.00;1.00;8.00;0.03;0.00
0.10;47.92;2.00;32.00;6.00;9.00;6.68;2.00
0.05;17.15;1.00;8.00;29.00;2.00;4.67;1.00
0.13;1.00;1.00;43.00;39.00;6.00;430.00;1.00
0.10;227.59;3.00;11.00;18.00;8.00;0.48;3.00
0.15;231.59;3.00;7.00;18.00;10.00;0.30;3.00
0.05;64.92;2.00;15.00;44.00;1.00;2.31;2.00
0.15;1737.98;5.00;25.00;11.00;9.00;0.14;0.00
0.08;649.15;4.00;20.00;48.00;1.00;0.31;4.00
0.08;1755.98;5.00;7.00;23.00;9.00;0.04;0.00
0.10;646.15;4.00;23.00;48.00;5.00;0.36;4.00
0.85;11.15;1.00;14.00;23.00;8.00;12.56;1.00
0.13;647.15;4.00;22.00;42.00;5.00;0.34;4.00
0.08;24.15;1.00;1.00;16.00;3.00;0.41;1.00
0.11;188.59;3.00;50.00;27.00;3.00;2.65;3.00
0.39;50.92;2.00;29.00;5.00;8.00;5.70;2.00
0.24;227.59;3.00;11.00;2.00;0.00;0.48;3.00
0.05;6.15;1.00;19.00;20.00;0.00;30.91;1.00
0.08;222.59;3.00;16.00;7.00;6.00;0.72;3.00
0.08;19.15;1.00;6.00;39.00;1.00;3.13;1.00
0.05;1712.98;5.00;50.00;24.00;7.00;0.29;0.00
0.08;63.92;2.00;16.00;27.00;5.00;2.50;2.00
0.05;47.92;2.00;32.00;3.00;1.00;6.68;2.00
0.08;652.15;4.00;17.00;10.00;4.00;0.26;4.00
0.33;1.00;1.00;38.00;40.00;9.00;380.00;1.00
0.08;1.00;1.00;33.00;35.00;8.00;330.00;1.00
0.46;645.15;4.00;24.00;46.00;4.00;0.37;4.00
0.27;233.59;3.00;5.00;26.00;7.00;0.21;3.00
0.05;10.15;1.00;15.00;10.00;1.00;14.78;1.00
0.12;40.92;2.00;39.00;11.00;10.00;9.53;2.00
0.05;663.15;4.00;6.00;39.00;10.00;0.09;4.00
0.13;213.59;3.00;25.00;28.00;5.00;1.17;3.00
0.05;238.59;3.00;0.00;40.00;5.00;0.00;3.00
0.08;196.59;3.00;42.00;10.00;10.00;2.14;3.00
0.10;7.15;1.00;18.00;4.00;7.00;25.18;1.00
0.47;200.59;3.00;38.00;10.00;2.00;1.89;3.00
0.15;57.92;2.00;22.00;35.00;9.00;3.80;2.00
0.13;643.15;4.00;26.00;12.00;2.00;0.40;4.00
0.05;17.15;1.00;8.00;0.00;3.00;4.67;1.00
0.13;658.15;4.00;11.00;35.00;9.00;0.17;4.00
1.30;1.00;1.00;31.00;6.00;5.00;310.00;1.00
0.05;191.59;3.00;47.00;42.00;9.00;2.45;3.00
0.13;1.00;1.00;44.00;18.00;7.00;440.00;1.00
0.05;238.59;3.00;0.00;3.00;10.00;0.00;3.00
0.14;194.59;3.00;44.00;36.00;10.00;2.26;3.00
0.05;59.92;2.00;20.00;43.00;7.00;3.34;2.00
0.14;59.92;2.00;20.00;9.00;7.00;3.34;2.00
0.10;214.59;3.00;24.00;33.00;7.00;1.12;3.00
0.14;196.59;3.00;42.00;45.00;6.00;2.14;3.00
0.05;637.15;4.00;32.00;23.00;9.00;0.50;4.00
0.05;65.92;2.00;14.00;38.00;0.00;2.12;2.00
0.55;635.15;4.00;34.00;8.00;3.00;0.54;4.00
0.09;197.59;3.00;41.00;49.00;3.00;2.07;3.00
0.14;646.15;4.00;23.00;15.00;7.00;0.36;4.00
0.19;48.92;2.00;31.00;40.00;4.00;6.34;2.00
0.05;230.59;3.00;8.00;32.00;6.00;0.35;3.00
0.09;72.92;2.00;7.00;46.00;9.00;0.96;2.00
0.12;43.92;2.00;36.00;46.00;0.00;8.20;2.00
0.09;628.15;4.00;41.00;3.00;2.00;0.65;4.00
0.11;40.92;2.00;39.00;46.00;3.00;9.53;2.00
0.09;1.00;1.00;31.00;41.00;3.00;310.00;1.00
0.05;1747.98;5.00;15.00;45.00;10.00;0.09;0.00
0.29;1713.98;5.00;49.00;23.00;9.00;0.29;0.00
0.35;653.15;4.00;16.00;35.00;0.00;0.24;4.00
0.08;54.92;2.00;25.00;29.00;7.00;4.55;2.00
0.05;194.59;3.00;44.00;23.00;9.00;2.26;3.00
0.27;59.92;2.00;20.00;21.00;9.00;3.34;2.00
0.23;667.15;4.00;2.00;43.00;3.00;0.03;4.00
0.29;23.15;1.00;2.00;14.00;0.00;0.86;1.00
0.15;227.59;3.00;11.00;21.00;2.00;0.48;3.00
0.15;49.92;2.00;30.00;32.00;7.00;6.01;2.00
0.42;1727.98;5.00;35.00;45.00;6.00;0.20;0.00
0.14;1728.98;5.00;34.00;10.00;8.00;0.20;0.00
0.05;652.15;4.00;17.00;39.00;0.00;0.26;4.00
0.05;619.15;4.00;50.00;32.00;10.00;0.81;4.00
0.09;234.59;3.00;4.00;46.00;2.00;0.17;3.00
0.27;1712.98;5.00;50.00;36.00;0.00;0.29;0.00
0.33;40.92;2.00;39.00;22.00;9.00;9.53;2.00
0.05;219.59;3.00;19.00;11.00;8.00;0.87;3.00
0.05;634.15;4.00;35.00;18.00;4.00;0.55;4.00
0.26;216.59;3.00;22.00;21.00;10.00;1.02;3.00
0.43;1747.98;5.00;15.00;23.00;1.00;0.09;0.00
0.26;662.15;4.00;7.00;41.00;6.00;0.11;4.00
0.14;56.92;2.00;23.00;7.00;4.00;4.04;2.00
0.14;9.15;1.00;16.00;37.00;7.00;17.49;1.00
0.39;1737.98;5.00;25.00;38.00;8.00;0.14;0.00
0.08;69.92;2.00;10.00;27.00;7.00;1.43;2.00
0.05;1756.98;5.00;6.00;28.00;1.00;0.03;0.00
0.32;205.59;3.00;33.00;40.00;4.00;1.61;3.00
0.15;1.00;1.00;46.00;20.00;7.00;460.00;1.00
0.05;64.92;2.00;15.00;11.00;4.00;2.31;2.00
0.15;1.00;1.00;41.00;23.00;4.00;410.00;1.00
0.13;634.15;4.00;35.00;16.00;8.00;0.55;4.00
0.05;1738.98;5.00;24.00;39.00;4.00;0.14;0.00
0.10;1.00;1.00;31.00;49.00;4.00;310.00;1.00
0.29;73.92;2.00;6.00;39.00;1.00;0.81;2.00
0.33;59.92;2.00;20.00;0.00;4.00;3.34;2.00
0.28;1713.98;5.00;49.00;31.00;0.00;0.29;0.00
0.14;39.92;2.00;40.00;38.00;9.00;10.02;2.00
0.08;648.15;4.00;21.00;1.00;2.00;0.32;4.00
0.09;1.00;1.00;44.00;33.00;3.00;440.00;1.00
0.29;1.00;1.00;30.00;19.00;4.00;300.00;1.00
0.43;230.59;3.00;8.00;18.00;5.00;0.35;3.00
0.14;1.00;1.00;50.00;28.00;9.00;500.00;1.00
0.05;1738.98;5.00;24.00;10.00;5.00;0.14;0.00
0.14;76.92;2.00;3.00;6.00;0.00;0.39;2.00
0.14;1.00;1.00;41.00;12.00;1.00;410.00;1.00
0.52;75.92;2.00;4.00;17.00;0.00;0.53;2.00
0.08;622.15;4.00;47.00;32.00;0.00;0.76;4.00
0.08;55.92;2.00;24.00;35.00;10.00;4.29;2.00
0.08;55.92;2.00;24.00;20.00;1.00;4.29;2.00
0.38;646.15;4.00;23.00;25.00;7.00;0.36;4.00
0.13;37.92;2.00;42.00;6.00;4.00;11.08;2.00
0.08;628.15;4.00;41.00;46.00;5.00;0.65;4.00
0.14;55.92;2.00;24.00;18.00;3.00;4.29;2.00
0.09;19.15;1.00;6.00;42.00;8.00;3.13;1.00
0.09;640.15;4.00;29.00;30.00;9.00;0.45;4.00
0.08;219.59;3.00;19.00;14.00;8.00;0.87;3.00
0.08;635.15;4.00;34.00;47.00;0.00;0.54;4.00
0.05;1723.98;5.00;39.00;46.00;10.00;0.23;0.00
0.24;1.00;1.00;49.00;47.00;8.00;490.00;1.00
0.08;37.92;2.00;42.00;31.00;3.00;11.08;2.00
0.05;1714.98;5.00;48.00;7.00;3.00;0.28;0.00
0.05;1.00;1.00;28.00;30.00;5.00;280.00;1.00
0.05;1.00;1.00;26.00;15.00;3.00;260.00;1.00
0.05;1748.98;5.00;14.00;43.00;7.00;0.08;0.00
0.40;214.59;3.00;24.00;9.00;9.00;1.12;3.00
0.14;8.15;1.00;17.00;18.00;3.00;20.87;1.00
0.26;199.59;3.00;39.00;47.00;4.00;1.95;3.00
0.14;216.59;3.00;22.00;41.00;3.00;1.02;3.00
0.05;208.59;3.00;30.00;21.00;1.00;1.44;3.00
0.09;645.15;4.00;24.00;18.00;2.00;0.37;4.00
0.10;637.15;4.00;32.00;24.00;4.00;0.50;4.00
0.08;1727.98;5.00;35.00;40.00;4.00;0.20;0.00
0.09;209.59;3.00;29.00;47.00;1.00;1.38;3.00
0.14;1.00;1.00;38.00;49.00;9.00;380.00;1.00
0.15;56.92;2.00;23.00;18.00;4.00;4.04;2.00
0.38;70.92;2.00;9.00;11.00;3.00;1.27;2.00
0.14;79.92;2.00;0.00;23.00;4.00;0.00;2.00
0.25;1712.98;5.00;50.00;19.00;5.00;0.29;0.00
0.08;66.92;2.00;13.00;40.00;2.00;1.94;2.00
0.45;1727.98;5.00;35.00;13.00;1.00;0.20;0.00
0.14;31.92;2.00;48.00;10.00;2.00;15.04;2.00
0.08;1745.98;5.00;17.00;31.00;7.00;0.10;0.00
0.47;5.15;1.00;20.00;1.00;7.00;38.85;1.00
0.14;36.92;2.00;43.00;43.00;2.00;11.65;2.00
0.05;1.00;1.00;49.00;23.00;6.00;490.00;1.00
0.05;214.59;3.00;24.00;6.00;5.00;1.12;3.00
0.11;634.15;4.00;35.00;30.00;1.00;0.55;4.00
0.12;223.59;3.00;15.00;6.00;7.00;0.67;3.00
0.23;231.59;3.00;7.00;8.00;7.00;0.30;3.00
0.05;205.59;3.00;33.00;43.00;7.00;1.61;3.00
0.26;79.92;2.00;0.00;11.00;10.00;0.00;2.00
0.33;1.00;1.00;46.00;37.00;6.00;460.00;1.00
0.14;623.15;4.00;46.00;28.00;10.00;0.74;4.00
0.08;630.15;4.00;39.00;17.00;1.00;0.62;4.00
0.05;44.92;2.00;35.00;14.00;2.00;7.79;2.00
0.34;64.92;2.00;15.00;22.00;8.00;2.31;2.00
0.08;641.15;4.00;28.00;17.00;1.00;0.44;4.00
0.08;1730.98;5.00;32.00;7.00;8.00;0.18;0.00
0.08;625.15;4.00;44.00;46.00;8.00;0.70;4.00
0.14;653.15;4.00;16.00;40.00;1.00;0.24;4.00
0.40;17.15;1.00;8.00;37.00;9.00;4.67;1.00
0.10;213.59;3.00;25.00;10.00;0.00;1.17;3.00
0.46;661.15;4.00;8.00;43.00;8.00;0.12;4.00
0.08;1721.98;5.00;41.00;41.00;0.00;0.24;0.00
0.14;1714.98;5.00;48.00;4.00;1.00;0.28;0.00
0.14;642.15;4.00;27.00;29.00;1.00;0.42;4.00
0.14;1736.98;5.00;26.00;16.00;2.00;0.15;0.00
0.08;228.59;3.00;10.00;34.00;10.00;0.44;3.00
0.08;631.15;4.00;38.00;0.00;5.00;0.60;4.00
0.05;1760.98;5.00;2.00;30.00;5.00;0.01;0.00
0.08;1714.98;5.00;48.00;15.00;6.00;0.28;0.00
0.52;1722.98;5.00;40.00;2.00;4.00;0.23;0.00
0.26;56.92;2.00;23.00;32.00;10.00;4.04;2.00
0.13;25.15;1.00;0.00;43.00;1.00;0.00;1.00
0.10;56.92;2.00;23.00;21.00;3.00;4.04;2.00
0.14;237.59;3.00;1.00;7.00;5.00;0.04;3.00
0.05;78.92;2.00;1.00;31.00;0.00;0.13;2.00
0.29;650.15;4.00;19.00;9.00;9.00;0.29;4.00
0.08;1732.98;5.00;30.00;30.00;5.00;0.17;0.00
0.08;65.92;2.00;14.00;9.00;1.00;2.12;2.00
0.08;645.15;4.00;24.00;5.00;9.00;0.37;4.00
0.29;625.15;4.00;44.00;39.00;7.00;0.70;4.00
0.14;1.00;1.00;43.00;13.00;0.00;430.00;1.00
0.23;33.92;2.00;46.00;12.00;6.00;13.56;2.00
0.73;215.59;3.00;23.00;4.00;7.00;1.07;3.00
0.05;1725.98;5.00;37.00;44.00;3.00;0.21;0.00
0.08;35.92;2.00;44.00;30.00;1.00;12.25;2.00
0.11;198.59;3.00;40.00;36.00;10.00;2.01;3.00
0.15;1721.98;5.00;41.00;35.00;5.00;0.24;0.00
0.05;188.59;3.00;50.00;40.00;5.00;2.65;3.00
0.05;1.00;1.00;46.00;32.00;5.00;460.00;1.00
0.08;648.15;4.00;21.00;45.00;3.00;0.32;4.00
0.08;70.92;2.00;9.00;22.00;4.00;1.27;2.00
0.29;1751.98;5.00;11.00;27.00;4.00;0.06;0.00
0.08;1.00;1.00;32.00;27.00;6.00;320.00;1.00
0.05;1715.98;5.00;47.00;22.00;5.00;0.27;0.00
0.59;1.00;1.00;36.00;2.00;1.00;360.00;1.00
0.08;1756.98;5.00;6.00;18.00;10.00;0.03;0.00
0.08;215.59;3.00;23.00;0.00;7.00;1.07;3.00
0.08;202.59;3.00;36.00;42.00;9.00;1.78;3.00
0.47;1757.98;5.00;5.00;22.00;3.00;0.03;0.00
0.14;626.15;4.00;43.00;23.00;3.00;0.69;4.00
0.27;25.15;1.00;0.00;46.00;7.00;0.00;1.00
0.14;79.92;2.00;0.00;16.00;5.00;0.00;2.00
0.14;196.59;3.00;42.00;10.00;6.00;2.14;3.00
0.26;1.00;1.00;33.00;39.00;6.00;330.00;1.00
0.14;634.15;4.00;35.00;23.00;4.00;0.55;4.00
0.08;640.15;4.00;29.00;50.00;7.00;0.45;4.00
0.05;645.15;4.00;24.00;7.00;4.00;0.37;4.00
0.08;626.15;4.00;43.00;3.00;4.00;0.69;4.00
0.51;653.15;4.00;16.00;2.00;9.00;0.24;4.00
0.35;1754.98;5.00;8.00;2.00;10.00;0.05;0.00
0.08;641.15;4.00;28.00;3.00;1.00;0.44;4.00
0.34;626.15;4.00;43.00;40.00;3.00;0.69;4.00
0.27;669.15;4.00;0.00;50.00;4.00;0.00;4.00
0.29;35.92;2.00;44.00;21.00;0.00;12.25;2.00
0.30;1.00;1.00;46.00;9.00;5.00;460.00;1.00
0.08;225.59;3.00;13.00;34.00;10.00;0.58;3.00
0.05;213.59;3.00;25.00;0.00;0.00;1.17;3.00
0.36;1742.98;5.00;20.00;19.00;0.00;0.11;0.00
0.11;1.00;1.00;49.00;5.00;9.00;490.00;1.00
0.31;1.00;1.00;49.00;39.00;3.00;490.00;1.00
0.14;1754.98;5.00;8.00;46.00;1.00;0.05;0.00
0.14;641.15;4.00;28.00;7.00;1.00;0.44;4.00
0.24;625.15;4.00;44.00;20.00;0.00;0.70;4.00
0.13;221.59;3.00;17.00;4.00;8.00;0.77;3.00
0.08;209.59;3.00;29.00;38.00;8.00;1.38;3.00
0.10;43.92;2.00;36.00;46.00;7.00;8.20;2.00
0.05;210.59;3.00;28.00;28.00;0.00;1.33;3.00
0.09;1745.98;5.00;17.00;34.00;0.00;0.10;0.00
0.08;34.92;2.00;45.00;19.00;4.00;12.89;2.00
0.05;236.59;3.00;2.00;26.00;0.00;0.08;3.00
0.15;30.92;2.00;49.00;33.00;2.00;15.85;2.00
0.05;212.59;3.00;26.00;9.00;9.00;1.22;3.00
0.23;215.59;3.00;23.00;14.00;2.00;1.07;3.00
0.46;1.00;1.00;29.00;29.00;9.00;290.00;1.00
0.32;14.15;1.00;11.00;10.00;7.00;7.78;1.00
0.08;651.15;4.00;18.00;14.00;9.00;0.28;4.00
0.08;59.92;2.00;20.00;46.00;1.00;3.34;2.00
0.14;635.15;4.00;34.00;7.00;1.00;0.54;4.00
0.08;1736.98;5.00;26.00;31.00;8.00;0.15;0.00
0.05;1.00;1.00;34.00;17.00;1.00;340.00;1.00
0.29;637.15;4.00;32.00;20.00;5.00;0.50;4.00
0.38;22.15;1.00;3.00;33.00;5.00;1.35;1.00
0.29;643.15;4.00;26.00;42.00;2.00;0.40;4.00
0.13;221.59;3.00;17.00;14.00;6.00;0.77;3.00
0.05;228.59;3.00;10.00;29.00;4.00;0.44;3.00
0.14;15.15;1.00;10.00;44.00;8.00;6.60;1.00
0.11;44.92;2.00;35.00;34.00;7.00;7.79;2.00
0.73;652.15;4.00;17.00;9.00;7.00;0.26;4.00
0.05;1.15;1.00;24.00;1.00;7.00;209.14;1.00
0.08;1737.98;5.00;25.00;20.00;2.00;0.14;0.00
0.15;63.92;2.00;16.00;25.00;1.00;2.50;2.00
0.05;1738.98;5.00;24.00;4.00;0.00;0.14;0.00
0.05;57.92;2.00;22.00;35.00;8.00;3.80;2.00
0.08;1.00;1.00;28.00;37.00;9.00;280.00;1.00
0.09;1.00;1.00;31.00;5.00;6.00;310.00;1.00
0.05;55.92;2.00;24.00;36.00;4.00;4.29;2.00
0.14;53.92;2.00;26.00;36.00;5.00;4.82;2.00
